IDBox;Plant;Zone;Plan;UniqueQuadrat;UniqueGeno;n
1057;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1058;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1059;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1060;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;7
1061;F89-13-156-p2_H5_I_A2;NA;interpop;I;Corse_H5;5
1062;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1063;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1064;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1065;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1066;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;6
1067;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1068;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;7
1069;L1123_Na632_H8_I_A5;NA;interpop;I;Narbonne_H8;6
