IDBox;SumViability;NbSeed;PropViability;SumSwell;PropSwell;SumRad;PropRad;SumCot;PropCot;IDPod;Plant;Zone;Zone0;UniqueQuadrat;PosQuadrat;Plan;UniqueGeno;Block;Plate
119;3;6;0.5;6;1;6;1;6;1;120;426_A_H11.5 _12_10_C2;12;12;Z12Q10;C2;Intrapop;Narbonne_H11.5;1;2
120;2;5;0.4;5;1;5;1;4;0.8;121;L1130_Na1028_H1 _12_10_C5;12;12;Z12Q10;C5;Intrapop;Narbonne_H1;1;2
121;3;4;0.75;4;1;4;1;4;1;122;L1125_Na657_H8 _12_10_D2;12;12;Z12Q10;D2;Intrapop;Narbonne_H8;1;3
122;5;5;1;5;1;5;1;5;1;123;L1105_Na21_H2 _12_10_D5;12;12;Z12Q10;D5;Intrapop;Narbonne_H2;1;3
123;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;124;L1110b_Na326_H5 _12_10_E4;12;12;Z12Q10;E4;Intrapop;Narbonne_H5;1;3
124;2;2;1;2;1;2;1;2;1;125;L1123_Na632_H8 _12_10_E5;12;12;Z12Q10;E5;Intrapop;Narbonne_H8;1;3
125;0;2;0;2;1;2;1;2;1;126;L1123_Na632_H8 _12_10_E5;12;12;Z12Q10;E5;Intrapop;Narbonne_H8;1;3
126;3;3;1;3;1;3;1;3;1;127;L1107_Na234_H2 _12_10_F6;12;12;Z12Q10;F6;Intrapop;Narbonne_H2;1;3
127;4;4;1;4;1;4;1;4;1;128;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
128;2;3;0.666666666666667;3;1;3;1;3;1;128;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
129;4;4;1;4;1;4;1;4;1;129;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
130;4;4;1;4;1;4;1;4;1;130;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
131;1;3;0.333333333333333;3;1;2;0.666666666666667;2;0.666666666666667;130;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
132;1;4;0.25;4;1;4;1;4;1;131;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
133;2;3;0.666666666666667;3;1;3;1;3;1;131;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
134;5;6;0.833333333333333;6;1;6;1;5;0.833333333333333;132;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
135;2;3;0.666666666666667;3;1;3;1;2;0.666666666666667;133;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
136;3;3;1;3;1;3;1;3;1;133;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
137;3;4;0.75;4;1;4;1;4;1;134;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
138;3;3;1;3;1;3;1;3;1;134;F89-13-42-b2_H4_2013_B_A5;NA;1;B;A5;interpop;Corse_H4;1;3
139;4;5;0.8;5;1;5;1;5;1;135;F89-13-156-p2_H5_B_AA1;NA;1;B;AA1;interpop;Corse_H5;1;3
140;3;5;0.6;5;1;5;1;3;0.6;136;F89-13-156-p2_H5_B_AA1;NA;1;B;AA1;interpop;Corse_H5;1;3
141;4;4;1;4;1;4;1;4;1;137;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
142;3;3;1;3;1;3;1;3;1;137;L1110b_Na326_H5_B_B2;NA;1;B;B2;interpop;Narbonne_H5;1;3
