IDBox;Plant;Zone;Plan;Quadrat;UniqueQuadrat;PositionQuad;UniqueGeno;IDPod;Block;Plate;PositionPlate;NbSeed;IDSeed;Base;SwellingDate;Swell;RadicleDate;Rad;CotyledonDate;Cot;Viability;SampleDate;Conta;time_flo;L_max_flo;TotalNbPods;NumSeedPlant
22;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;3;17-mai;17-mai;1;22-mai;1;;0;0;26-mai;;9;5.5;10;41
22;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;24;1;1;2;4;4;17-mai;17-mai;1;22-mai;1;;0;0;26-mai;;9;5.5;10;41
23;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;1;17-mai;17-mai;1;20-mai;1;22-mai;1;1;25-mai;;9;5.5;10;41
23;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;2;17-mai;17-mai;1;20-mai;1;23-mai;1;1;25-mai;;9;5.5;10;41
23;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;3;17-mai;18-mai;0;20-mai;1;23-mai;1;1;25-mai;;9;5.5;10;41
23;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;25;1;1;1;4;4;17-mai;19-mai;0;20-mai;1;25-mai;1;1;25-mai;;9;5.5;10;41
24;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;1;17-mai;18-mai;0;20-mai;1;22-mai;1;1;26-mai;;9;5.5;10;41
24;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;2;17-mai;19-mai;0;20-mai;1;22-mai;1;1;26-mai;;9;5.5;10;41
24;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;3;17-mai;19-mai;0;20-mai;1;25-mai;1;0;26-mai;;9;5.5;10;41
24;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;4;17-mai;18-mai;0;20-mai;1;22-mai;1;0;26-mai;;9;5.5;10;41
24;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;26;1;1;2;5;5;17-mai;17-mai;1;20-mai;1;26-mai;1;0;26-mai;;9;5.5;10;41
25;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;27;1;1;1;3;1;17-mai;18-mai;0;20-mai;1;26-mai;1;1;27-mai;;9;5.5;10;41
25;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;27;1;1;1;3;2;17-mai;18-mai;0;20-mai;1;25-mai;1;1;27-mai;;9;5.5;10;41
25;L1096b_Na156_H4 _3_12_C2;3;Intrapop;12;Z3Q12;C2;Narbonne_H4;27;1;1;1;3;3;17-mai;18-mai;0;20-mai;1;26-mai;1;1;27-mai;;9;5.5;10;41
26;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;30;1;1;2;3;1;17-mai;18-mai;0;20-mai;1;22-mai;1;0;27-mai;;5.5;4;8;44
26;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;30;1;1;2;3;2;17-mai;17-mai;1;20-mai;1;22-mai;1;0;27-mai;;5.5;4;8;44
26;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;30;1;1;2;3;3;17-mai;17-mai;1;22-mai;1;26-mai;1;0;;;5.5;4;8;44
27;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;31;1;1;1;7;1;17-mai;18-mai;0;22-mai;1;22-mai;1;0;;;5.5;4;8;44
27;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;31;1;1;1;7;2;17-mai;17-mai;1;20-mai;1;22-mai;1;1;24-mai;;5.5;4;8;44
27;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;31;1;1;1;7;3;17-mai;17-mai;1;20-mai;1;22-mai;1;1;24-mai;;5.5;4;8;44
27;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;31;1;1;1;7;4;17-mai;18-mai;0;;0;;0;0;;;5.5;4;8;44
28;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;31;1;1;2;7;1;17-mai;17-mai;1;22-mai;1;23-mai;1;0;24-mai;;5.5;4;8;44
28;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;31;1;1;2;7;2;17-mai;17-mai;1;20-mai;1;22-mai;1;1;24-mai;;5.5;4;8;44
28;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;31;1;1;2;7;3;17-mai;18-mai;0;20-mai;1;22-mai;1;1;24-mai;;5.5;4;8;44
29;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;32;1;1;1;5;1;17-mai;17-mai;1;20-mai;1;22-mai;1;1;26-mai;;5.5;4;8;44
29;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;32;1;1;1;5;2;17-mai;17-mai;1;20-mai;1;26-mai;1;1;26-mai;;5.5;4;8;44
29;L1105_Na21_H2 _3_12_C3;3;Intrapop;12;Z3Q12;C3;Narbonne_H2;32;1;1;1;5;3;17-mai;19-mai;0;22-mai;1;26-mai;1;0;26-mai;;5.5;4;8;44
